Fate/kaleid liner 魔法少女☆伊莉雅,fate_(series)
创作,original
作者名,creator_name
室内,indoors
内里朝外,inside_out
体育馆,sports_hall
野外,outdoors
野餐,picnic
草地上,on_grass
公园,park
夜晚,night
傍晚,evening
一夜,hitoyo_(baffu)
月光,moonlight
白天,day
日记,diary
有日期,dated
日落,sunset
日出,sunrise
黄昏,dusk
sunset_(porforever),sunset_(porforever)
阳光,sunlight
雨世界,rain_world
雨后,after_rain
太阳雨,sun_shower
雪,snow
正在下雪,snowing
雪球,snowball
云朵,cloud
云彩背景,cloud_background
在云上,on_cloud
Cloud9,cloud9
乌云,dark_cloud
天空,sky
天际线,skyline
SHY,shy_(series)
蓝天,blue_sky
海洋,ocean
翻车鱼,ocean_sunfish
船,watercraft
海滩,beach
海滨小屋,beach_house
岸边,shore
沙子,sand
森林,forest
树,tree
在树上,in_tree
山,mountain
山顶,mountaintop
河流,river
河岸,riverbank
溪流,stream
湖,lake
声音之湖,lake_of_voices
都会,city
城镇,town
都市,urban
花园,garden
园艺,gardening
灰色庭园,haiiro_teien
温室,conservatory
街道,street
街拍,street_snap
道路,road
人行道,sidewalk
建筑物,building
建筑,architecture
建筑物,structure
客厅,living_room
酒店房间,hotel_room
卧室,bedroom
床,bed
床边,bedside
厨房,kitchen
烹饪,cooking
厨师,chef
游泳池,pool
台球桌,pool_table
波林,poring
普尔,puar
浴室,bathroom
马桶,toilet
浴室,ofuro
洗澡,showering
淋浴间,shower_(place)
洗澡,bath
沐浴,bathing
澡堂,bathhouse
温泉,onsen
温泉符号,onsen_symbol
nyon,nyon_(cookie)
SEVENTEEN,seventeen_(group)
学校,school
体育馆,school_gym
教室,classroom
学校课桌,school_desk
学校椅子,school_chair
教学,teaching
素描,sketch
素描,sketching
截图画中画,screenshot_inset
沙雕,sand_sculpture
单色调,monochrome
单色背景,monochrome_background
灰色背景,grey_background
单字母,single_letter
色彩,colorful
彩色背景,colorful_background
彩色服饰,multicolored_clothes
五维介质,medium5
水彩效果,watercolor_effect
水彩背景,watercolor_background
水色边框,aqua_border
拿着画笔,holding_paintbrush
彩色文字,multicolored_text
水色背景,aqua_background
中性,androgynous
混合,mixing
水墨画,sumi-e
绘画动作,painting_(action)
涂油,oiled
喷漆,spray_paint
食用油,cooking_oil
绘画,paint
油漆污渍,paint_stains
绘画中,drawing_(action)
画家,artist_painter
美术馆,art_gallery
仿手绘,faux_traditional_media
图画(物体),drawing_(object)
儿童画,child's_drawing
粉笔画,chalk_drawing
绘画,drawing
绘画(物体),painting_(object)
拿着数位板,holding_drawing_tablet
传统服饰,traditional_clothes
风筝,kite
录像带,videocassette
新闻,news
Q版,chibi
赛璐珞上色,anime_coloring
90年代风格,1990s_(style)
盘腿坐,indian_style
动画化,animification
日本,japan
卡通风格,toon_(style)
写实,photorealistic
透明边框,transparent_border
半透明角,translucent_horns
半透明,semi-transparent
肖像,portrait
半色调,halftone
ちびうさ,chibi_usa
VChiban,vchiban
chibikko_(morihito),chibikko_(morihito)
线稿,lineart
自助洗衣店,laundromat
LINE,line_(naver)
平涂,flat_color
鸭舌帽,flat_cap
粉色背景,pink_background
渐变,gradient
淡色,pale_color
仰视视角,from_below
底光,underlighting
从后方,from_behind
从前到后,front-to-back
从外向里,from_outside
指向下面,pointing_down
特写,close-up
摆姿势,posing
背靠背,back-to-back
合照,group_picture
脸贴脸,cheek_press
全身纹身,full-body_tattoo
一条面包,loaf_of_bread
全裸,completely_nude
上半身,upper_body
拉起上衣,top_pull
肖像画,portrait_(object)
照片,photo_(object)
摄影师,photographer
牛仔镜头,cowboy_shot
牛仔帽,cowboy_hat
拿着球拍,holding_racket
头像,profile_picture
私,watashi_(jintai)
分享,sharing
角色简介,character_profile
荷式仰角,dutch_angle
蓝角,blue_horns
荷兰国旗,dutch_flag
多视图,multiple_views
远景,wide_shot
极大远景,very_wide_shot
持长柄武器,holding_polearm
全景,panorama
仰拍,under_shot
1个女孩,1girl
1个男孩,1boy
女孩,the_girl_(fear_&_hunger)
2个女孩,2girls
5名女孩,5girls
4个女孩,4girls
3人女子,3girls
女女女3P,fff_threesome
小男孩,miniboy
2个男孩,2boys
5个男孩,5boys
单人,solo
Sola,sola
单只鞋子,single_shoe
多个女孩,multiple_girls
姐妹,sisters
妃十三学园,alternative_girls
无人类,no_humans
摘掉耳机,earphones_removed
无手,no_hands
无面具,no_mask
枪械,gun
剑,sword
血剑,blood_sword
斧头,axe
持杖,holding_staff
小刀,knife
菜刀,kitchen_knife
手持镰刀,holding_sickle
匕首,dagger
持枪,holding_gun
盾牌,shield
臂盾,arm_shield
肉,meat
琴弓,bow_(music)
弓（武器）,bow_(weapon)
拿着弓,holding_bow_(weapon)
持剑,holding_sword
bao_the_whale,bao_the_whale
叼着武器,weapon_in_mouth
rurudo_lion,rurudo_lion
花,flower
裙装上的花,dress_flower
Flower,flower_(vocaloid3)
Wild flower,wild_flower
玫瑰,rose
书,book
书包,bookbag
在书上,on_book
打开的书,open_book
汽车,car
车辆名称,vehicle_name
乐器,instrument
演奏乐器,playing_instrument
手风琴,accordion
节拍器,metronome
动物,animal
动物名称,animal_name
狗,dog
猫,cat
猫耳帽,cat_hat
cat_girl,cat_girl_(andaerz)
橘猫,orange_cat
人犬,human_dog
犬,inu_(sakamata_chloe)
小狗,puppy
鸟,bird
飞行中的动物,flying_animal
骑鸟,riding_bird
鱼,fish
钓鱼,fishing
鱼 (食物),fish_(food)
海鲜,seafood
马,horse
马头,horse_head
骑马,horseback_riding
骑在动物上,sitting_on_animal
在动物上,on_animal
龙,dragon
龙骑兵,dragoon
dragon_musume_ni_naritakunai!,dragon_musume_ni_naritakunai!
怪物,monster
水,water
浇水,watering
在水中,in_water
火,fire
燃烧的建筑,burning_building
闪电,lightning
闪电背景,lightning_background
闪光,gleam
红色闪电,red_lightning
闪光,glint
雷电,thunder
风,wind
风吹起,wind_lift
冰,ice
冰块,ice_block
冰冻,frozen
寒冷,cold
冰块,ice_cube
光,light
灯光,lights
灯,lamp
灯泡,light_bulb
黑暗,darkness
昏暗,dark
暗室,dark_room
公司徽标,company_logo
角色Logo,character_logo
Windows 标志,windows_logo
标志,logo
英文文本,english_text
发短信,text_messaging
中文文本,chinese_text
双语文本,bilingual_text
标牌,sign
路标,signpost
.hack//SIGN,.hack//sign
作者标志,artist_logo
警告,caution
对话框,speech_bubble
气泡遮挡,speech_bubble_censor
台词场景,spoken_scene
说话内容带闪烁符号,spoken_sparkle
说话的角色,spoken_character
说话气泡内有灯泡,spoken_light_bulb
漫画,comic
漫画封面,comic_cover
Comic LO,comic_lo
Comic Sans,comic_sans
漫画书,manga_(object)
漫画封面,manga_cover
Manga Time Kirara,manga_time_kirara
四格漫画,4koma
分格冷笑话,panel_gag
方块之谜,panel_de_pon
桌子,table
桌子,desk
写字板,clipboard
白板,whiteboard
拿着木板,holding_board
列表,list
纸板,cardboard
信息表,information_sheet
已打码,censored
遮挡文本,censored_text
禁止入内,keep_out
禁止符号,no_symbol
束缚,bondage
隐秘束缚,stealth_bondage
无修正,uncensored
拉链拉开,unzipped
女性裸上身,topless_female
有字幕,subtitled
模糊,blurry
模糊层,blur_layer
角色遮挡,character_censor
模糊打码,blur_censor
马赛克,mosaic_censoring
空白遮盖,blank_censor
模糊背景,blurry_background
表情符号遮挡,emoji_censor
界面遮挡,interface_censor
框外遮挡,out-of-frame_censoring
身份遮蔽,censored_identity
高帮鞋,high_tops
高处,high_up
厚底高跟鞋,platform_heels
创意遮挡,novelty_censor
啥,what
碍事的屁股,inconvenient_ass
极其长的尾巴,absurdly_long_tail
荒谬的长发,absurdly_long_hair
低叉,lowleg
火焰鸟,moltres
lierre,lierre
倾斜边框,tilted_border
侧向,sideways
倾斜的光环,tilted_halo
上下颠倒,upside-down
物品,article
讽刺,irony
赞美,praise
旁白,narration
混合语言文本,mixed-language_text
太过字面意义,too_literal
蹩脚英语,engrish_text
多条舌头,multiple_tongues
生肉,raw_meat
锈,rust
saotome_rei,saotome_rei
扫描线,scanlines
伪扫描,fake_scan
签名,signature
签名,signing
水印,watermark
水印网格,watermark_grid
潮湿的地面,wet_floor
水洼,puddle
作者名,artist_name
画师名 (歌手),artist_name_(singer)
米画师用户名,mihuashi_username
画师名,arist_name
新年,new_year
年连接,year_connection
2020年,2020
2013年,2013
酷毙了,bad_ass
崩坏脸,bad_face
错误信息,error_message
恶意,malice_(sue_storm)
解剖,anatomy
糟糕的食物,bad_food
身体结构崩坏,bad_anatomy
错误的枪械构造,bad_gun_anatomy
生病,sick
不良少女 (漫画),bad_girl_(manga)
器官,organs
医学,igaku_(utau)
畸形阴部,bad_vulva
比例崩坏,bad_proportions
糟糕的透视,bad_perspective
大码衬衫,oversized_shirt
乱牙,crooked_teeth
变形,deformed
糟糕的反光,bad_reflection
羽毛笔,la_pluma_(arknights)
阿米娅,amiya_(arknights)
伊芙琳,evelyn_(league_of_legends)
伊芙琳,evelynn
羽毛笔,quill
